id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
cultleader,قائد الحزب,في كل ليلة، أنت تصبح مع الفريق الذي يمثله جارك الحي. وإذا أصبح كل اللاعبين الطيبين في حزبك فإنه يفوز فريقك,أخبر قائد الحزب إذا تغيًر فريقه (الطيبين أو الأشرار),أخبر قائد الحزب إذا تغيًر فريقه (الطيبين أو الأشرار),,
damsel,Damsel,"All Minions know you are in play. If a Minion publicly guesses you (once), your team loses.","Wake all the Minions, show them the 'This character selected you' card and the Damsel token.","If selected by the Huntsman, wake the Damsel, show 'You are' card and a not-in-play Townsfolk token.",,Guess used
deusexfiasco,Deus ex Fiasco,"Once per game, the Storyteller will make a ""mistake"", correct it and publicly admit to it.",,,,Whoops
deviant,Deviant,"If you were funny today, you cannot die by exile.",,,,
devilsadvocate,محامي الشر,في كل ليلة، اختار لاعب مختلف عن الليلة السابقة إذا أعدم في اليوم التالي فإنه لايموت,محامي الشر يختار لاعب، هذا اللاعب لايموت بالإعدام اليوم التالي,محامي الشر يختار لاعب مختلف عن اللاعب المختار في الليلة السابقة، هذا اللاعب لايموت بالإعدام اليوم التالي,,لايموت بالإعدام
djinn,Djinn,Use the Djinn's special rule. All players know what it is.,,,,
doomsayer,Doomsayer,"If 4 or more players live, each living player may publicly choose (once per game) that a player of their own alignment dies.",,,,
dreamer,الحالم,في كل ليلة، اختار لاعب (غيرك وليس من المسافرين) فيخبرك المنظم شخصيتين له أحدهما شخصية من الطيبين والأخرى من الأشرار، أحد هذه الشخصيتين صحيح.,الحالم يختار لاعب فتخبره شخصية طيبة وشخصية شريرة، أحدهما صحيح.,الحالم يختار لاعب فتخبره شخصية طيبة وشخصية شريرة، أحدهما صحيح.,,
drunk,المخمور,المنظم يخبرك شخصية محددة من سكان القرية والحقيقة أنك مخمور، فإذا كان للشخصية ميزة يقرر المنظم هل تصلك المعلومة صحيحة أو لا.,,,مخمور,
duchess,Duchess,"Each day, 3 players may choose to visit you. At night*, each visitor learns how many visitors are evil, but 1 gets false info.",,,,"Visitor,False Info"
empath,قارئ الأفكار,في كل ليلة، المنظم يخبرك كم لاعب حي شرير يجلسان جنبك.,"أخبره عدد (0,1,2) من الأشرار يجلسان بجانبك من اليمن واليسار.","أخبره عدد (0,1,2) من الأشرار يجلسان بجانبك من اليمن واليسار.",,
engineer,Engineer,"Once per game, at night, choose which Minions or which Demon is in play.","The Engineer shows a 'no' head signal, or points to a Demon or points to the relevant number of Minions. If the Engineer chose characters, replace the Demon or Minions with the choices, then wake the relevant players and show them the You are card and the relevant character tokens.","The Engineer shows a 'no' head signal, or points to a Demon or points to the relevant number of Minions. If the Engineer chose characters, replace the Demon or Minions with the choices, then wake the relevant players and show them the 'You are' card and the relevant character tokens.",,No ability
eviltwin,التوأم الشرير,أنت ولاعب آخر من الطيبين تعرفون بعضكم وتعرفون شخصياتكم، المنظم يخبر كلا منكما بأنه توأم الآخر ويخبرك شخصية التوأم الطيب، إذا تم قتل التوأم الطيب بالتصويت نهارا يفوز الأشرار، ولا يفوز الطيبين طالما  التوأم الشرير على قيد الحياة,أخبر التوأم الشرير من هو توأمه من الطيبين وماهي شخصيته، وأخبر التوأم الطيب من هو توأمه من الأشرار,,,توأم
exorcist,الراقي,في كل ليلة، اختار لاعب (غير اللاعب السابق) وإذا اخترت رئيس الأشرار لن يقتل أحد تلك الليلة وسيعلم من هو الراقي,,يختار الراقي لاعب (غير اللاعب السابق) فإذا اختار رئيس الأشرار، أخبر رئيس الأشرار من هو الراقي. رئيس الأشرار لايقتل أحد هذه الليلة,,مختار
fanggu,فانغو,في كل ليلة اختار لاعب تقتله، وإذا كان هذا اللاعب من الغرباء أنت تموت وهو يصبح فانغو [+1 غريب],,الفانغو يختار لاعب لقتله كل ليلة، وإذا كان هذا اللاعب من الغرباء يقتل الفانغو ويصبح اللاعب الغريب هو الفانغو (رئيس الأشرار) الجديد. أخبر اللاعب بأنه أصبح فانغو (رئيس الأشرار) الجديد، علما أن التبديل هذا يحصل مرة واحدة فقط,,"ميت,مرة"
farmer,Farmer,"If you die at night, an alive good player becomes a Farmer.",,"If a Farmer died tonight, choose another good player and make them the Farmer. Wake this player, show them the 'You are' card and the Farmer character token.",,
fearmonger,Fearmonger,"Each night, choose a player. If you nominate & execute them, their team loses. All players know if you choose a new player.",The Fearmonger points to a player. Place the Fear token next to that player and announce that a new player has been selected with the Fearmonger ability.,"The Fearmonger points to a player. If different from the previous night, place the Fear token next to that player and announce that a new player has been selected with the Fearmonger ability.",,Fear
fibbin,Fibbin,"Once per game, 1 good player might get false information.",,,,Used
fiddler,Fiddler,"Once per game, the Demon secretly chooses an opposing player: all players choose which of these 2 players win.",,,,
fisherman,الصياد,مرة واحدة في اللعبة خلال النهار، اطلب نصيحة المنظم ليساعد فريقك على الفوز,,,,بدون ميزة
flowergirl,بائعة الزهور,في كل ليلة، المنظم يخبرك إذا ما قام رئيس الأشرار بالتصويت ذلك اليوم,,ضع علامة تذكير على رئيس الأشرار إذا قام بالتصويت في النهار، وفي الليل أخبر بائعة الزهور ""نعم"",,رئيس الأشرار صوت، رئيس الأشرار لم يصوت
fool,المخبول,أول مرة تُقتل لاتموت,,,,بدون ميزة
fortuneteller,العرافة,في كل ليلة، تختار لاعبين والمنظم يخبرك إذا كان أحدهما هو رئيس الأشرار. علما أنه يوجد لاعب من سكان القرية يختاره المنظم يظهر لك كأنه رئيس الأشرار.,يختار العرافة لاعبين فتخبره نعم إذا كان أحدهما رئيس الأشرار.,يختار العرافة لاعبين فتخبره نعم إذا كان أحدهما رئيس الأشرار.,,خدعة
gambler,المقامر,في كل ليلة، اختار لاعب وخمن شخصيته، إذا كان تخمينك خاطئ تموت,,المقامر يختار لاعب ويخمن شخصيته، إذا كان تخمينه خاطئ يموت,,ميت
gangster,Gangster,"Once per day, you may choose to kill an alive neighbour, if your other alive neighbour agrees.",,,,
general,General,"Each night, you learn which alignment the Storyteller believes is winning: good, evil, or neither.","Show the General thumbs up for good winning, thumbs down for evil winning or thumb to the side for neither.","Show the General thumbs up for good winning, thumbs down for evil winning or thumb to the side for neither.",,
goblin,Goblin,"If you publicly claim to be the Goblin when nominated & are executed that day, your team wins.",,,,Claimed
godfather,العراب,في أول ليلة فقط، المنظم يخبرك من هم شخصيات الغرباء الموجودين في اللعبة، وإذا مات أحدهم بالنهار اختار لاعب بالليل فيموت [+1 أو -1 غرباء],أخبر العراب من هم شخصيات الغرباء الموجودون في اللعبة,إذا مات أحد اللاعبين الغرباء، أوقظ العراب ليختار أحد اللاعبين فيموت,,"مات اليوم,ميت"
golem,Golem,"You may only nominate once per game. When you do, if the nominee is not the Demon, they die.",,,,Can not nominate
goon,الأحمق,في كل ليلة، أول لاعب يختارك عن طريق ميزته يصبح مخمور إلى المساء، وتصبح أنت معه في الفريق (طيبين أو أشرار),,,,مخمور
gossip,الثرثار,كل يوم، تستطيع أن تقول جملة عامة، فإذا كانت هذه الجملة صحيحة يقتل لاعب في الليل,,إذا كانت جملة الثرثار صحيحة اختار لاعب غير محمي واقتله,,ميت
grandmother,الجدة,المنظم يخبرك اسم لاعب من الطيبين (الحفيد) وشخصيته، إذا قتل هذا اللاعب ليلا بواسطة رئيس الأشرار تموت أنت كذلك,اختار لاعب وضع علامة الحفيد عليه,إذا قتل الحفيد ليلا بواسطة رئيس الأشرار تموت الجدة,,الحفيد
gunslinger,Gunslinger,"Each day, after the 1st vote has been tallied, you may choose a player that voted: they die.",,,,
harlot,Harlot,"Each night*, choose a living player: if they agree, you learn their character, but you both might die.",,"The Harlot points at any player. Then, put the Harlot to sleep. Wake the chosen player, show them the 'This character selected you' token, then the Harlot token. That player either nods their head yes or shakes their head no. If they nodded their head yes, wake the Harlot and show them the chosen player's character token. Then, you may decide that both players die.",,Dead
hellslibrarian,Hell's Librarian,Something bad might happen to whoever talks when the Storyteller has asked for silence.,,,,Something Bad
heretic,Heretic,"Whoever wins, loses & whoever loses, wins, even if you are dead.",,,,
huntsman,Huntsman,"Once per game, at night, choose a living player: the Damsel, if chosen, becomes a not-in-play Townsfolk. [+the Damsel]","The Huntsman shakes their head 'no' or points to a player. If they point to the Damsel, wake that player, show the 'You are' card and a not-in-play character token.","The Huntsman shakes their head 'no' or points to a player. If they point to the Damsel, wake that player, show the 'You are' card and a not-in-play character token.",,No ability
imp,العفريت,أنت رئيس الأشرار، في كل ليلة اختار لاعب تقتله ، وإذا قتلت نفسك أحد الأشرار الآخرين يصبح هوا الرئيس.,,العفريت يقتل كل ليلة لاعب من اختياره. وإذا قتل نفسه اختار أحد الأشرار وأخبره أنه أصبح رئيس الأشرار.,,ميت
innkeeper,الساقي,في كل ليلة، اختار لاعبين لن يُقتلوا في الليل ولكن أحدهما يصبح مخمور حتى المساء,,أزل العلامة من كلا اللاعبين (اللاعب المحمي سابقا واللاعب المخمور سابقا). الساقي يختار لاعبين آخرين لحمايتهما، وأحدهما يصبح مخمور,,"محمي,مخمور"
investigator,المحقق,في أول ليلة فقط، المنظم يخبرك شخصية من الأشرار لأحد لاعبين.,أخبره باسم شخصية من الأشرار الموجودين في اللعبة، ثم أخبره باسم لاعبين أحدهما صاحب هذه الشخصية.,,,"شرير,خطأ"
judge,Judge,"Once per game, if another player nominated, you may choose to force the current execution to pass or fail.",,,,No ability
juggler,المحتال,في أول يوم، يمكنك أن تخمن شخصية 5 لاعبين على الأكثر (يمكنك أن تخمن أقل من 5 لاعبين) علنيا، في تلك الليلة يخبرك المنظم كم شخصية صحيحة ذكرتها ,,إذا كان هذا هو اليوم الأول للمحتال، أخبره في الليل كم عدد التخمينات الصحيحة التي خمنها. ضع علامة ""صح"" لكل تخمين صحيح,,صح
king,King,"Each night, if the dead outnumber the living, you learn 1 alive character. The Demon knows who you are.","Wake the Demon, show them the 'This character selected you' card, show the King token and point to the King player.","If there are more dead than living, show the King a character token of a living player.",,
klutz,الأحمق,عندما تعرف أنك قتلت، اختار لاعب حي علنا فإذا كان من الأشرار يخسر فريقك,,,,
legion,Legion,"Each night*, a player might die. Executions fail if only evil voted. You register as a Minion too. [Most players are Legion]",,"Choose a player, that player dies.",,"Dead,About to die"
leviathan,Leviathan,"If more than 1 good player is executed, you win. All players know you are in play. After day 5, evil wins.",Place the Leviathan 'Day 1' marker. Announce 'The Leviathan is in play; this is Day 1.',Change the Leviathan Day reminder for the next day.,,"Day 1,Day 2,Day 3,Day 4,Day 5,Good player executed"
librarian,أمين المكتبة,في أول ليلة فقط، المنظم يخبرك شخصية محددة من الغرباء لأحد لاعبين أو أنه لا يوجد أي غرباء في اللعبة إطلاقا.,أخبره باسم شخصية من الغرباء الموجودين في اللعبة، ثم أخبره باسم لاعبين أحدهما صاحب هذه الشخصية.,,,"غريب,خطأ"
lilmonsta,Lil' Monsta,"Each night, Minions choose who babysits Lil' Monsta's token & ""is the Demon"". A player dies each night*. [+1 Minion]","Wake all Minions together, allow them to vote by pointing at who they want to babysit Lil' Monsta.","Wake all Minions together, allow them to vote by pointing at who they want to babysit Lil' Monsta. Choose a player, that player dies.","Is the Demon,Dead",
lleech,Lleech,"Each night*, choose a player: they die. You start by choosing an alive player: they are poisoned - you die if & only if they die.",The Lleech points to a player. Place the Poisoned reminder token.,The Lleech points to a player. That player dies.,,"Dead,Poisoned"
lunatic,المعتوه,أنت تعتقد أنك رئيس الأشرار، ولكنك لست كذلك. رئيس الأشرار يعرف من أنت ومن اخترت لقتله في الليل,"إذا كان هناك 7 لاعبين أو أكثر أخبر المعتوه من هم الأشرار في فريقه (سواء أشرار حقيقين أو غيرهم) بنفس عدد الأشرار الموجودين في اللعبة. ,وإذا اختار المعتوه لاعب في الليل لقتله ضع علامة على اللاعب المختار، وأخبر رئيس الأشرار الحقيقي باختيار المعتوه، ثم أزل العلامة من اللاعب المختار",إذا اختار المعتوه لاعب في الليل لقتله ضع علامة على اللاعب المختار، وأخبر رئيس الأشرار الحقيقي باختيار المعتوه، ثم أزل العلامة من اللاعب المختار,,"اعتداء 1,اعتداء 2,اعتداء 3"
lycanthrope,Lycanthrope,"Each night*, choose a living player: if good, they die, but they are the only player that can die tonight.",,"The Lycanthrope points to a living player: if good, they die and no one else can die tonight.",,Dead
magician,Magician,The Demon thinks you are a Minion. Minions think you are a Demon.,,,,
marionette,العروسة المتحركة,أنت تعتقد أنك من الطيبين ولكنك من الأشرار. رئيس الأشرار يعرفك. [جارك هو رئيس الأشرار],اختار لاعب بجوار رئيس الأشرار وضع عليه علامة ""العروسة المتحركة"". أخبر رئيس الأشرار من هي العروسة المتحركة,,العروسة المتحركة,
mastermind,العقل المدبر,إذا مات رئيس الأشرار (انتهت اللعبة)، يضاف يوم آخر وفي هذا اليوم من يُعدم في النهار يخسر فريقه,,,,
mathematician,معلم الرياضيات,في كل ليلة، المنظم يخبرك عدد اللاعبين الذين تعطلت ميزاتهم وأخذوا معلومات خاطئة (من طلوع الفجر) بسبب ميزة لاعبين آخرين,"أخبره عدد اللاعبين (0,1,2, إلخ) الذين تعطلت ميزاتهم وحصلوا على معلومات خاطئة بسبب ميزة لاعبين آخرين","أخبره عدد اللاعبين (0,1,2, إلخ) الذين تعطلت ميزاتهم وحصلوا على معلومات خاطئة بسبب ميزة لاعبين آخرين",,متعطل
matron,Matron,"Each day, you may choose up to 3 sets of 2 players to swap seats. Players may not leave their seats to talk in private.",,,,
mayor,المحافظ,إذا بقيت على قيد الحياة إلى آخر 3 لاعبين ولم يتم قتل أحد ذلك اليوم فريقك يفوز، وإذا قتلت في الليل يمكن للمنظم اختيار غيرك لقتله.,,,,
mezepheles,Mezepheles,You start knowing a secret word. The 1st good player to say this word becomes evil that night.,Show the Mezepheles their secret word.,Wake the 1st good player that said the Mezepheles' secret word and show them the 'You are' card and the thumbs down evil signal.,,"Turns evil,No ability"
minstrel,المنشد,إذا قٌتل شرير نهارا عن طريق التصويت كل اللاعبين (ماعدا المسافرين) يصبحون مخمورين حتى المساء اليوم التالي,,,,الجميع مخمور
monk,الراهب,في كل ليلة، اختار لاعب غيرك محمي من قتل رئيس الأشرار في الليل.,,أزل الحماية من اللاعب المحمي السابق، وضعها على اللاعب الجديد حسب اختيار الراهب.,,محمي
moonchild,الهائم,عندما تموت اختار لاعب حي علناً، وفي تلك الليلة إذا كان هذا اللاعب من الطيبين فإنه يموت,,إذا الطفل المريض اختار اللاعب وكان هذا اللاعب من الطيبين فإنه يموت,,ميت
mutant,الصامت,إذا كنت غضبان كونك من الغرباء، سيقتلك المنظم,,,,
nightwatchman,Nightwatchman,"Once per game, at night, choose a player: they learn who you are.","The Nightwatchman may point to a player. Wake that player, show the 'This character selected you' card and the Nightwatchman token, then point to the Nightwatchman player.","The Nightwatchman may point to a player. Wake that player, show the 'This character selected you' card and the Nightwatchman token, then point to the Nightwatchman player.",,No ability
noble,Noble,"You start knowing 3 players, 1 and only 1 of which is evil.","Point to 3 players including one evil player, in no particular order.",,,Seen
nodashii,الأخطبوط,في كل ليلة اختار لاعب تقتله، ويتسمم أقرب لاعبين اثنين من سكان القرية المجاورين لك (واحد من اليمين والآخر من اليسار),,الأخطبوط يختار لاعب فيقتل,,ميت،مسمم
oracle,المستشار,في كل ليلة، المنظم يخبرك كم عدد الأشرار الميتين,,"أخبره عدد اللاعبين (0, 1, 2, إلخ) الأشرار الميتين",,
pacifist,المسالم,إعدام لاعب نهارا ربما لا يموت (باختيار المنظم),,,,
philosopher,الفيلسوف,مرة واحدة في اللعبة في الليل، اختار شخصية طيبة تلعبها، إذا اخترت شخصية موجودة ذلك اللاعب يصبح مخمور,الفيلسوف إما يؤجل اختيار شخصية أو يختار شخصية من الطيبين، فإذا كانت هذه الشخصية موجودة في اللعبة يصبح ذلك اللاعب مخمور,إذا لم يستخدم الفيلسوف ميزته، فهو إما يؤجل اختيار شخصية أو يختار شخصية من الطيبين، فإذا كانت هذه الشخصية موجودة في اللعبة يصبح ذلك اللاعب مخمور,"مخمور,هل هو الفيلسوف",
pithag,وعاء الساحرة,في كل ليلة، اختار لاعب وشخصية له من اختيارك، ستصبح شخصيته إذا لم تكن هذه الشخصية موجودة في اللعبة عند شخص آخر، وإذا اخترت شخصية رئيس الأشرار سيكون القتل في تلك الليلة حسب اختيار المنظم,,وعاء الساحرة يختار لاعب وشخصية له فإذا كانت هذه الشخصية غير موجودة في اللعب ستصبح شخصية اللاعب المختار وإذا كانت هذه الشخصية موجودة في اللعب لا شيء يحدث,,
pixie,Pixie,"You start knowing 1 in-play Townsfolk. If you were mad that you were this character, you gain their ability when they die.",Show the Pixie 1 in-play Townsfolk character token.,,,"Mad,Has ability"
po,بو,في كل ليلة اختار لاعب تقتله، إذا لم تختر أحدا في ليلة فإن الليلة التالية تستطيع قتل 3 لاعبين,,إذا البو اختارلاعب فيقتل أو إذا لم يختر أحدا الليلة السابقة فإنه يستطيع قتل 3 لاعبين,,"ميت,3 اعتداء"
poisoner,المسمم,في كل ليلة، اختار لاعب تتعطل ميزته في تلك الليلة وفي النهار التالي,المسمم يختار لاعب فتضع عليخ علامة التسمم.,اللاعب المسمم سابقا يصبح سليما. يختار المسمم لاعب فتضع عليه علامة التسمم.,,مسمم
politician,السياسي,إذا كنت أنت المسؤول عن هزيمة فريقك فإنك تستطيعتغيير فريقك وتفوز حتى لو كنت ميت,,,,
poppygrower,Poppy Grower,"Minions & Demons do not know each other. If you die, they learn who each other are that night.",Do not inform the Demon/Minions who each other are,"If the Poppy Grower has died, show the Minions/Demon who each other are.",,Evil wakes
preacher,الواعظ,في كل ليلة، اختار لاعب وإذا كان هذا اللاعب من الأشرار (ليس رئيس الأشرار)  فإنه يعرف أنك اخترته وكذلك جميع اللاعبين الأشرار المختارين تتعطل ميزتهم,الواعظ يختار لاعب، وإذا كان هذا اللاعب من الأشرار (ليس رئيس الأشرار) أخبره بأن الواعظ قد اختاره,الواعظ يختار لاعب، وإذا كان هذا اللاعب من الأشرار (ليس رئيس الأشرار) أخبره بأن الواعظ قد اختاره,,متعظ
professor,البروفيسور,مرة واحدة في اللعبة، في الليل، اختار لاعب ميت فإذا كان هذا اللاعب من سكان القرية يعود للحياة,,إذا البروفيسور لم يستخدم ميزته يختار إما استخدامها أو تأجيلها، إذا أرد استخدامها يختار لاعب ميت فإذا كان اللاعب الميت من سكان القرية يعود للحياة,,"حي,بدون ميزة"
psychopath,Psychopath,"Each day, before nominations, you may publicly choose a player: they die. If executed, you only die if you lose roshambo.",,,,
pukka,البوكا,في كل ليلة، اختار لاعب لكي يتسمم. اللاعب المسمم السابق يموت ويصبح معافى من التسمم (في حال كان لديه ميزة يستخدمها بعد الموت),البوكا يختار لاعب لكي يتسمم,البوكا يختار لاعب لكي يتسمم. اللاعب المسمم سابقا يموت,,"مسمم,ميت"
puzzlemaster,Puzzlemaster,"1 player is drunk, even if you die. If you guess (once) who it is, learn the Demon player, but guess wrong & get false info.",,,,"Drunk,Guess used"
ravenkeeper,حلاوة روح,إذا تم قتلك في الليل يوقظك المنظم لتختار لاعب فيخبرك شخصيته.,,إذا تم قتل حلاوة روح في الليل، يختار لاعب فتخبره شخصيته.,,
recluse,المنعزل,المنظم يختار لك شخصية يخبرها أصحاب الميزات من سكان القرية أو من الغرباء أو من الأشرار أو رئيس الأشرار حتى لو أنت مقتول,,,,
revolutionary,Revolutionary,"2 neighboring players are known to be the same alignment. Once per game, one of them registers falsely",,,,Register Falsely?
riot,Riot,"Nominees die, but may nominate again immediately (on day 3, they must). After day 3, evil wins. [All Minions are Riot]",,,,
sage,الحكيم,إذا قتلك رئيس الأشرار يخبرك المنظم اسم لاعبين أحدهما هو رئيس الأشرار,,إذا قتل رئيس الأشرار الحكيم، أخبر الحكيم اسم لاعبين أحدهما هو رئيس الأشرار,,
